rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
9323,1,1,360,6,360,0,0,0,42,136,163.8,0,27.8,93.23,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,Pmi (bar)
1,75.853,1.448,204502.326,1.473,-0.039,-16.785,-0.513,620.84,0.137,-0.376,1.364,4.212,164.421,153144,48.537,222.945,,,359,1.598,0.125,4.473564246
2,75.914,1.509,204477.146,1.451,-0.006,-33.576,-0.087,611.281,0.122,0.035,1.365,0,0,153170,,,,,358,1.666,0.215,
3,75.576,1.171,204435.17,1.459,0.019,-50.379,0.248,614.429,0.127,0.375,1.365,0,0,153448,,,,,357,1.71,0.251,
4,75.906,1.501,204376.383,1.485,0.029,-67.198,0.376,625.256,0.144,0.52,1.364,0,0,153650,,,,,356,1.721,0.236,
5,76.037,1.632,204300.766,1.512,0.022,-84.041,0.277,636.43,0.161,0.438,1.363,0,0,153656,,,,,355,1.702,0.19,
6,76.052,1.647,204208.291,1.525,0.004,-100.913,0.044,641.838,0.17,0.213,1.362,0,0,153580,,,,,354,1.665,0.14,
7,76.245,1.84,204098.929,1.521,-0.011,-117.818,-0.158,639.745,0.166,0.008,1.362,0,0,153546,,,,,353,1.627,0.106,
8,75.63,1.225,203972.642,1.508,-0.012,-134.763,-0.181,633.742,0.157,-0.024,1.363,0,0,153652,,,,,352,1.601,0.093,
9,75.86,1.455,203829.388,1.501,0.002,-151.753,0.008,630.52,0.152,0.16,1.363,0,0,152902,,,,,351,1.591,0.09,
10,75.537,1.132,203669.12,1.515,0.025,-168.793,0.312,635.682,0.16,0.472,1.363,0,0,153124,,,,,350,1.595,0.08,
11,76.375,1.97,203491.784,1.551,0.045,-185.888,0.564,650.278,0.183,0.747,1.361,0,0,152718,,,,,349,1.605,0.054,
12,75.499,1.094,203297.324,1.6,0.049,-203.044,0.625,670.125,0.214,0.838,1.36,0,0,152186,,,,,348,1.615,0.015,
13,76.368,1.963,203085.675,1.644,0.037,-220.264,0.458,688.124,0.242,0.7,1.358,0,0,152068,,,,,347,1.622,-0.022,
14,76.291,1.886,202856.772,1.671,0.015,-237.554,0.16,698.281,0.258,0.418,1.357,0,0,151632,,,,,346,1.623,-0.048,
15,76.36,1.955,202610.542,1.675,-0.005,-254.918,-0.098,699.134,0.259,0.161,1.357,0,0,151306,,,,,345,1.613,-0.062,
16,75.753,1.348,202346.91,1.665,-0.011,-272.361,-0.18,694.39,0.252,0.072,1.358,0,0,150838,,,,,344,1.586,-0.079,
17,75.806,1.401,202065.793,1.658,-0.002,-289.885,-0.066,690.329,0.245,0.179,1.358,0,0,150946,,,,,343,1.54,-0.118,
18,76.291,1.886,201767.11,1.664,0.014,-307.496,0.145,691.849,0.248,0.393,1.358,0,0,149644,,,,,342,1.49,-0.174,
19,76.091,1.686,201450.771,1.686,0.027,-325.197,0.303,699.678,0.26,0.563,1.357,0,0,150262,,,,,341,1.45,-0.236,
20,75.683,1.278,201116.685,1.713,0.025,-342.99,0.281,709.958,0.276,0.558,1.356,0,0,149310,,,,,340,1.432,-0.281,
21,76.537,2.132,200764.759,1.731,0.007,-360.88,0.041,716.096,0.286,0.328,1.356,0,0,149912,,,,,339,1.432,-0.299,
22,76.375,1.97,200394.893,1.725,-0.02,-378.868,-0.322,712.321,0.28,-0.042,1.356,0,0,148818,,,,,338,1.44,-0.285,
23,76.206,1.801,200006.99,1.692,-0.043,-396.957,-0.617,697.528,0.257,-0.361,1.357,0,0,149270,,,,,337,1.446,-0.246,
24,76.114,1.709,199600.945,1.646,-0.047,-415.15,-0.668,676.828,0.224,-0.444,1.359,0,0,147672,,,,,336,1.455,-0.191,
25,75.576,1.171,199176.655,1.606,-0.029,-433.448,-0.442,659.008,0.196,-0.246,1.361,0,0,148508,,,,,335,1.472,-0.134,
26,75.799,1.394,198734.014,1.591,0,-451.853,-0.063,651.373,0.184,0.121,1.361,0,0,146990,,,,,334,1.503,-0.088,
27,76.129,1.724,198272.913,1.605,0.028,-470.366,0.291,655.933,0.191,0.482,1.361,0,0,147876,,,,,333,1.543,-0.062,
