rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
11085,1,1,360,4,360,0,0,0,42,136,163.8,0.29,35,110.85,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
1,78.228,2.168,204502.326,1.875,0.058,-16.785,0.758,631.777,0.193,0.95,1.363,6.36,295.18,128132,62.768,172.781,,,359,1.747,-0.128,6.387458101
2,77.851,1.791,204477.146,1.924,0.039,-33.576,0.513,648.251,0.225,0.738,1.362,0,0,128164,,,,,358,1.692,-0.232,
3,78.313,2.253,204435.17,1.952,0.017,-50.379,0.216,657.556,0.243,0.459,1.361,0,0,128530,,,,,357,1.655,-0.297,
4,77.744,1.684,204376.383,1.959,-0.002,-67.198,-0.04,659.642,0.247,0.207,1.361,0,0,128570,,,,,356,1.643,-0.316,
5,78.459,2.399,204300.766,1.95,-0.014,-84.041,-0.196,656.46,0.241,0.045,1.361,0,0,128442,,,,,355,1.653,-0.297,
6,77.667,1.607,204208.291,1.934,-0.019,-100.913,-0.262,650.585,0.229,-0.033,1.361,0,0,128772,,,,,354,1.677,-0.257,
7,77.974,1.914,204098.929,1.914,-0.022,-117.818,-0.304,643.572,0.215,-0.088,1.362,0,0,128420,,,,,353,1.706,-0.208,
8,77.913,1.853,203972.642,1.89,-0.028,-134.763,-0.388,635.097,0.199,-0.189,1.363,0,0,128410,,,,,352,1.734,-0.156,
9,78.12,2.06,203829.388,1.858,-0.038,-151.753,-0.517,623.782,0.177,-0.34,1.364,0,0,127356,,,,,351,1.761,-0.097,
10,78.074,2.014,203669.12,1.816,-0.044,-168.793,-0.6,609.392,0.149,-0.451,1.365,0,0,128250,,,,,350,1.791,-0.025,
11,77.651,1.591,203491.784,1.774,-0.038,-185.888,-0.52,594.625,0.121,-0.399,1.367,0,0,127378,,,,,349,1.821,0.047,
12,77.713,1.653,203297.324,1.746,-0.015,-203.044,-0.224,584.679,0.102,-0.123,1.368,0,0,127048,,,,,348,1.842,0.096,
13,77.452,1.392,203085.675,1.747,0.02,-220.264,0.221,584.632,0.101,0.322,1.368,0,0,127384,,,,,347,1.844,0.097,
14,77.944,1.884,202856.772,1.785,0.053,-237.554,0.655,596.43,0.124,0.779,1.366,0,0,126758,,,,,346,1.82,0.035,
15,77.751,1.691,202610.542,1.85,0.073,-254.918,0.903,617.379,0.164,1.067,1.365,0,0,127354,,,,,345,1.773,-0.077,
16,77.913,1.853,202346.91,1.923,0.069,-272.361,0.854,640.925,0.21,1.064,1.362,0,0,126942,,,,,344,1.715,-0.208,
17,78.374,2.314,202065.793,1.981,0.045,-289.885,0.533,659.428,0.246,0.78,1.361,0,0,127088,,,,,343,1.663,-0.318,
18,78.29,2.23,201767.11,2.009,0.012,-307.496,0.105,667.845,0.263,0.368,1.36,0,0,127234,,,,,342,1.631,-0.378,
19,78.243,2.183,201450.771,2.008,-0.012,-325.197,-0.216,666.275,0.26,0.043,1.36,0,0,127346,,,,,341,1.624,-0.384,
20,77.936,1.876,201116.685,1.99,-0.019,-342.99,-0.312,659.353,0.246,-0.066,1.361,0,0,126740,,,,,340,1.635,-0.355,
21,77.582,1.522,200764.759,1.973,-0.013,-360.88,-0.234,652.588,0.233,-0.001,1.361,0,0,126888,,,,,339,1.648,-0.325,
22,78.005,1.945,200394.893,1.965,-0.005,-378.868,-0.131,648.566,0.225,0.094,1.362,0,0,126698,,,,,338,1.651,-0.314,
23,78.42,2.36,200006.99,1.961,-0.003,-396.957,-0.111,646.232,0.22,0.109,1.362,0,0,125948,,,,,337,1.639,-0.322,
24,78.297,2.237,199600.945,1.956,-0.008,-415.15,-0.171,643.224,0.214,0.043,1.362,0,0,126070,,,,,336,1.621,-0.335,
25,77.29,1.23,199176.655,1.945,-0.014,-433.448,-0.251,638.288,0.205,-0.046,1.363,0,0,125640,,,,,335,1.607,-0.338,
26,78.328,2.268,198734.014,1.929,-0.019,-451.853,-0.316,631.515,0.191,-0.125,1.363,0,0,125372,,,,,334,1.607,-0.322,
27,78.051,1.991,198272.913,1.908,-0.023,-470.366,-0.376,623.218,0.175,-0.2,1.364,0,0,125184,,,,,333,1.625,-0.283,
28,77.997,1.937,197793.246,1.882,-0.028,-488.988,-0.435,613.383,0.156,-0.279,1.365,0,0,125006,,,,,332,1.657,-0.225,
29,77.79,1.73,197294.901,1.853,-0.031,-507.72,-0.476,602.152,0.134,-0.342,1.366,0,0,124898,,,,,331,1.698,-0.155,
30,77.851,1.791,196777.77,1.821,-0.03,-526.561,-0.463,590.442,0.111,-0.352,1.367,0,0,124572,,,,,330,1.738,-0.083,
31,77.944,1.884,196241.743,1.794,-0.023,-545.512,-0.369,580.046,0.091,-0.277,1.368,0,0,124708,,,,,329,1.768,-0.026,
32,77.874,1.814,195686.709,1.778,-0.009,-564.573,-0.201,573.11,0.078,-0.123,1.369,0,0,124752,,,,,328,1.783,0.005,
33,77.651,1.591,195112.561,1.776,0.005,-583.741,-0.026,570.883,0.073,0.047,1.369,0,0,124966,,,,,327,1.784,0.008,
