rpm,mode,stroke(1:2stroke/2:4stroke),encoder,cylinder,count,Pcomp,TDC Marker Offset,Firing Tolerance,CylinderDiameter,CombustionChamberStroke,ConnectingRodLength,InitialPressure,InitialTemperature,EngineRpm,CrankRadius,CompressionRatio,SpecificGravity,IndexLowCalorificPower,,,,
15007,1,1,360,5,360,0,0,0,42,136,163.8,1.2,33.5,150.07,68,12.71,0.87,0,,,,
angle,rawdata,pressure,v,p,dp,dv,hrr,tk,dqw,dqt,k,pmi,w,pt(ns),ROHR[Kcal/cycle],SFC[g/HP.H],,,,,,
1,80.319,2.816,204502.326,2.793,0.045,-16.785,0.572,554.711,0.076,0.648,1.37,12.448,782.189,94640,116.42,150.035,,,359,2.714,-0.079,11.4384581
2,80.273,2.77,204477.146,2.833,0.035,-33.576,0.45,562.743,0.102,0.551,1.37,0,0,94282,,,,,358,2.703,-0.13,
3,80.742,3.239,204435.17,2.862,0.023,-50.379,0.28,568.335,0.12,0.399,1.369,0,0,94116,,,,,357,2.721,-0.141,
4,80.311,2.808,204376.383,2.88,0.015,-67.198,0.174,571.684,0.13,0.304,1.369,0,0,94688,,,,,356,2.759,-0.121,
5,80.234,2.731,204300.766,2.894,0.014,-84.041,0.165,574.204,0.139,0.304,1.369,0,0,94470,,,,,355,2.798,-0.096,
6,80.334,2.831,204208.291,2.909,0.016,-100.913,0.18,576.986,0.148,0.328,1.368,0,0,94554,,,,,354,2.821,-0.088,
7,80.334,2.831,204098.929,2.923,0.01,-117.818,0.095,579.45,0.156,0.251,1.368,0,0,94694,,,,,353,2.816,-0.107,
8,80.788,3.285,203972.642,2.924,-0.009,-134.763,-0.155,579.393,0.155,0,1.368,0,0,94440,,,,,352,2.783,-0.141,
9,80.48,2.977,203829.388,2.902,-0.036,-151.753,-0.509,574.54,0.14,-0.37,1.369,0,0,94484,,,,,351,2.732,-0.17,
10,80.557,3.054,203669.12,2.853,-0.059,-168.793,-0.807,564.418,0.107,-0.7,1.37,0,0,94666,,,,,350,2.679,-0.174,
11,80.065,2.562,203491.784,2.789,-0.065,-185.888,-0.886,551.184,0.064,-0.822,1.371,0,0,94262,,,,,349,2.64,-0.149,
12,80.311,2.808,203297.324,2.729,-0.05,-203.044,-0.686,538.856,0.024,-0.661,1.372,0,0,94212,,,,,348,2.627,-0.102,
13,80.065,2.562,203085.675,2.694,-0.018,-220.264,-0.284,531.389,0,-0.284,1.373,0,0,94592,,,,,347,2.636,-0.058,
14,79.727,2.224,202856.772,2.693,0.015,-237.554,0.135,530.603,-0.002,0.133,1.373,0,0,94028,,,,,346,2.651,-0.042,
15,80.096,2.593,202610.542,2.72,0.035,-254.918,0.389,535.258,0.012,0.401,1.372,0,0,93526,,,,,345,2.652,-0.068,
16,80.765,3.262,202346.91,2.758,0.037,-272.361,0.406,541.993,0.034,0.44,1.372,0,0,94158,,,,,344,2.634,-0.124,
17,80.588,3.085,202065.793,2.789,0.025,-289.885,0.25,547.475,0.051,0.302,1.371,0,0,93732,,,,,343,2.61,-0.179,
18,79.789,2.285,201767.11,2.806,0.009,-307.496,0.039,549.979,0.059,0.098,1.371,0,0,92822,,,,,342,2.599,-0.207,
19,80.419,2.916,201450.771,2.808,-0.006,-325.197,-0.15,549.377,0.057,-0.093,1.371,0,0,93442,,,,,341,2.611,-0.197,
20,80.488,2.985,201116.685,2.797,-0.016,-342.99,-0.285,546.29,0.047,-0.237,1.371,0,0,93572,,,,,340,2.641,-0.156,
21,80.427,2.924,200764.759,2.778,-0.02,-360.88,-0.341,541.691,0.032,-0.309,1.372,0,0,92952,,,,,339,2.673,-0.105,
22,80.234,2.731,200394.893,2.759,-0.017,-378.868,-0.304,536.94,0.017,-0.287,1.372,0,0,93196,,,,,338,2.694,-0.065,
23,79.819,2.316,200006.99,2.745,-0.009,-396.957,-0.212,533.314,0.005,-0.207,1.373,0,0,93462,,,,,337,2.7,-0.045,
24,80.257,2.754,199600.945,2.739,-0.004,-415.15,-0.147,531.069,-0.002,-0.15,1.373,0,0,92924,,,,,336,2.701,-0.038,
25,80.465,2.962,199176.655,2.736,-0.004,-433.448,-0.151,529.308,-0.008,-0.159,1.373,0,0,92798,,,,,335,2.708,-0.028,
